iter	Passed	Remaining
0	401	401276
1	403	201230
2	404	134511
3	406	101145
4	410	81625
5	412	68314
6	414	58729
7	415	51580
8	419	46246
9	422	41873
10	425	38258
11	427	35177
12	429	32632
13	432	30451
14	435	28569
15	436	26865
16	438	25383
17	440	24055
18	442	22864
19	446	21901
20	448	20914
21	450	20031
22	452	19211
23	453	18462
24	455	17783
25	458	17184
26	461	16620
27	463	16087
28	465	15580
29	466	15092
30	468	14642
31	470	14220
32	471	13817
33	475	13507
34	477	13172
35	479	12842
36	481	12521
37	482	12219
38	484	11933
39	485	11660
40	489	11442
41	490	11194
42	492	10953
43	493	10725
44	495	10507
45	496	10297
46	498	10097
47	499	9907
48	502	9746
49	504	9577
50	505	9413
51	507	9258
52	509	9103
53	511	8957
54	513	8817
55	516	8701
56	519	8589
57	521	8461
58	523	8341
59	524	8219
60	526	8098
61	527	7983
62	529	7873
63	532	7784
64	533	7679
65	535	7579
66	537	7483
67	539	7398
68	542	7320
69	546	7259
70	548	7172
71	551	7111
72	554	7043
73	556	6963
74	558	6883
75	560	6820
76	563	6751
77	564	6675
78	566	6602
79	567	6530
80	569	6458
81	570	6388
82	571	6312
83	572	6247
84	575	6197
85	577	6140
86	579	6078
87	580	6017
88	582	5957
89	583	5899
90	584	5842
91	586	5787
92	588	5735
93	592	5708
94	593	5655
95	595	5604
96	596	5552
97	597	5502
98	599	5453
99	600	5405
100	602	5363
101	605	5328
102	607	5289
103	608	5244
104	610	5201
105	611	5158
106	612	5115
107	614	5074
108	615	5034
109	617	4995
110	620	4966
111	622	4931
112	623	4893
113	624	4856
114	626	4819
115	627	4782
116	628	4745
117	630	4710
118	631	4676
119	633	4642
120	636	4621
121	637	4586
122	638	4553
123	640	4521
124	641	4490
125	642	4459
126	644	4429
127	646	4403
128	647	4374
129	651	4357
130	652	4328
131	653	4299
132	655	4271
133	656	4243
134	658	4216
135	659	4190
136	661	4164
137	662	4137
138	665	4123
139	667	4097
140	668	4072
141	669	4044
142	670	4020
143	672	3997
144	673	3973
145	675	3949
146	676	3926
147	679	3909
148	681	3890
149	682	3868
150	684	3846
151	685	3825
152	687	3803
153	688	3782
154	690	3761
155	691	3741
156	693	3724
157	695	3707
158	697	3688
159	698	3668
160	699	3647
161	701	3628
162	702	3608
163	704	3589
164	705	3571
165	707	3552
166	710	3543
167	711	3525
168	713	3506
169	714	3488
170	716	3471
171	717	3453
172	719	3437
173	720	3420
174	721	3403
175	724	3390
176	725	3374
177	727	3357
178	728	3341
179	729	3325
180	731	3309
181	732	3293
182	734	3278
183	735	3262
184	738	3254
185	740	3240
186	742	3226
187	743	3211
188	744	3196
189	746	3181
190	747	3167
191	749	3152
192	750	3138
193	754	3132
194	755	3119
195	757	3105
196	758	3091
197	759	3077
198	761	3064
199	762	3050
200	764	3037
201	765	3024
202	769	3019
203	771	3009
204	772	2997
205	774	2984
206	775	2971
207	777	2958
208	778	2946
209	779	2934
210	783	2929
211	784	2916
212	786	2905
213	787	2892
214	788	2880
215	790	2868
216	792	2857
217	793	2845
218	794	2834
219	798	2829
220	799	2818
221	801	2807
222	802	2795
223	803	2784
224	805	2773
225	806	2762
226	808	2751
227	809	2740
228	812	2736
229	814	2725
230	815	2715
231	817	2704
232	818	2694
233	819	2683
234	821	2673
235	822	2662
236	824	2653
237	827	2648
238	828	2638
239	830	2628
240	831	2618
241	832	2608
242	834	2598
243	835	2588
244	837	2579
245	838	2570
246	840	2563
247	842	2555
248	844	2546
249	845	2536
250	846	2527
251	848	2518
252	849	2509
253	851	2500
254	852	2491
255	854	2482
256	857	2478
257	858	2469
258	860	2460
259	861	2452
260	862	2443
261	864	2434
262	865	2426
263	867	2417
264	868	2409
265	871	2405
266	873	2397
267	874	2388
268	875	2380
269	877	2372
270	878	2363
271	880	2355
272	881	2348
273	883	2340
274	886	2337
275	888	2329
276	889	2321
277	890	2313
278	892	2305
279	893	2298
280	895	2290
281	896	2282
282	898	2275
283	900	2270
284	902	2263
285	903	2256
286	905	2248
287	906	2241
288	907	2233
289	909	2226
290	911	2219
291	912	2212
292	915	2207
293	916	2201
294	918	2194
295	919	2187
296	920	2179
297	922	2172
298	924	2166
299	925	2160
300	927	2154
301	931	2153
302	933	2146
303	934	2140
304	936	2133
305	938	2127
306	939	2121
307	941	2116
308	946	2116
309	947	2110
310	949	2103
311	950	2096
312	952	2089
313	953	2083
314	955	2076
315	956	2070
316	957	2064
317	960	2060
318	962	2053
319	963	2047
320	964	2041
321	966	2034
322	967	2028
323	969	2021
324	970	2015
325	972	2009
326	974	2006
327	976	2000
328	977	1994
329	979	1988
330	980	1982
331	982	1975
332	983	1969
333	985	1964
334	986	1958
335	988	1954
336	990	1948
337	992	1943
338	993	1937
339	994	1931
340	996	1925
341	997	1919
342	999	1913
343	1000	1908
344	1002	1904
345	1004	1898
346	1005	1892
347	1007	1887
348	1008	1881
349	1009	1875
350	1011	1870
351	1013	1866
352	1017	1864
353	1019	1859
354	1021	1855
355	1023	1850
356	1024	1846
357	1027	1842
358	1030	1839
359	1031	1834
360	1033	1829
361	1034	1824
362	1039	1824
363	1041	1819
364	1043	1815
365	1050	1820
366	1052	1814
367	1053	1809
368	1055	1804
369	1056	1798
370	1058	1793
371	1062	1792
372	1064	1789
373	1065	1784
374	1067	1778
375	1068	1773
376	1070	1768
377	1071	1763
378	1072	1757
379	1077	1758
380	1079	1754
381	1081	1749
382	1082	1743
383	1083	1738
384	1085	1733
385	1086	1728
386	1088	1723
387	1093	1724
388	1094	1719
389	1096	1714
390	1097	1709
391	1099	1704
392	1100	1699
393	1102	1695
394	1106	1694
395	1110	1693
396	1112	1689
397	1114	1685
398	1116	1681
399	1117	1676
400	1122	1676
401	1128	1679
402	1131	1675
403	1134	1673
404	1138	1671
405	1139	1667
406	1142	1664
407	1149	1667
408	1153	1666
409	1155	1662
410	1156	1658
411	1158	1653
412	1159	1648
413	1161	1643
414	1162	1639
415	1164	1634
416	1168	1633
417	1170	1630
418	1172	1625
419	1173	1621
420	1175	1616
421	1176	1611
422	1178	1607
423	1183	1608
424	1185	1603
425	1186	1599
426	1188	1594
427	1189	1589
428	1191	1585
429	1192	1580
430	1194	1576
431	1198	1575
432	1199	1570
433	1201	1566
434	1202	1562
435	1204	1557
436	1205	1553
437	1206	1548
438	1208	1544
439	1211	1541
440	1213	1537
441	1214	1533
442	1216	1529
443	1217	1524
444	1218	1520
445	1220	1515
446	1221	1511
447	1223	1507
448	1226	1505
449	1228	1500
450	1229	1496
451	1231	1492
452	1232	1488
453	1234	1484
454	1236	1480
455	1238	1477
456	1242	1476
457	1243	1472
458	1245	1468
459	1247	1464
460	1249	1460
461	1251	1456
462	1252	1452
463	1256	1451
464	1258	1447
465	1259	1443
466	1261	1439
467	1262	1435
468	1263	1430
469	1265	1426
470	1266	1422
471	1268	1418
472	1271	1416
473	1273	1412
474	1274	1408
475	1275	1404
476	1277	1400
477	1278	1396
478	1279	1392
479	1281	1388
480	1282	1384
481	1285	1381
482	1287	1377
483	1288	1374
484	1290	1370
485	1291	1366
486	1292	1362
487	1294	1358
488	1295	1354
489	1297	1350
490	1300	1347
491	1301	1344
492	1303	1340
493	1304	1336
494	1306	1332
495	1307	1328
496	1310	1326
497	1312	1323
498	1315	1321
499	1317	1317
500	1318	1313
501	1320	1309
502	1321	1305
503	1322	1301
504	1324	1297
505	1325	1294
506	1327	1290
507	1330	1288
508	1331	1284
509	1333	1281
510	1334	1277
511	1336	1273
512	1337	1269
513	1339	1266
514	1340	1262
515	1341	1258
516	1344	1256
517	1346	1252
518	1347	1249
519	1349	1245
520	1350	1241
521	1352	1238
522	1353	1234
523	1354	1230
524	1356	1227
525	1360	1226
526	1362	1222
527	1363	1218
528	1364	1215
529	1366	1211
530	1367	1207
531	1368	1204
532	1370	1200
533	1373	1198
534	1375	1195
535	1376	1191
536	1377	1188
537	1379	1184
538	1380	1180
539	1382	1177
540	1383	1173
541	1385	1170
542	1386	1166
543	1388	1164
544	1390	1160
545	1391	1157
546	1393	1153
547	1394	1150
548	1395	1146
549	1397	1143
550	1398	1139
551	1400	1136
552	1402	1133
553	1404	1130
554	1405	1127
555	1406	1123
556	1408	1120
557	1409	1116
558	1411	1113
559	1412	1109
560	1414	1106
561	1417	1104
562	1418	1101
563	1420	1097
564	1421	1094
565	1422	1091
566	1424	1087
567	1425	1084
568	1427	1081
569	1428	1077
570	1432	1075
571	1433	1072
572	1434	1069
